time,gFx,gFy,gFz,TgF
0.002000,0.1165,0.6567,0.6650,0.942
0.002000,0.1146,0.6561,0.6867,0.957
0.006000,0.1102,0.6547,0.7031,0.967
0.011000,0.1068,0.6531,0.7159,0.975
0.016000,0.1054,0.6510,0.7293,0.983
0.021000,0.1049,0.6497,0.7428,0.992
0.025000,0.1084,0.6503,0.7532,1.001
0.031000,0.1153,0.6524,0.7633,1.011
0.035000,0.1251,0.6539,0.7728,1.020
0.040000,0.1325,0.6539,0.7814,1.027
0.046000,0.1341,0.6506,0.7850,1.028
0.050000,0.1313,0.6486,0.7862,1.028
0.055000,0.1256,0.6487,0.7846,1.026
0.060000,0.1152,0.6484,0.7786,1.020
0.065000,0.1050,0.6471,0.7763,1.016
0.070000,0.1018,0.6469,0.7784,1.017
0.074000,0.1017,0.6451,0.7785,1.016
0.080000,0.0997,0.6409,0.7774,1.012
0.084000,0.0987,0.6375,0.7819,1.014
0.089000,0.0984,0.6361,0.7908,1.020
0.094000,0.0941,0.6378,0.8009,1.028
0.099000,0.0900,0.6429,0.8070,1.036
0.104000,0.0864,0.6515,0.8046,1.039
0.109000,0.0836,0.6599,0.7982,1.039
0.114000,0.0797,0.6638,0.7884,1.034
0.119000,0.0808,0.6667,0.7801,1.029
0.124000,0.0851,0.6655,0.7745,1.025
0.129000,0.0916,0.6595,0.7730,1.020
0.134000,0.0935,0.6533,0.7572,1.004
0.139000,0.0891,0.6455,0.7297,0.978
0.143000,0.0816,0.6425,0.7064,0.958
0.148000,0.0811,0.6442,0.6995,0.954
0.153000,0.0860,0.6468,0.7078,0.963
0.158000,0.0878,0.6496,0.7199,0.974
0.164000,0.0863,0.6551,0.7297,0.984
0.168000,0.0818,0.6581,0.7377,0.992
0.173000,0.0763,0.6583,0.7457,0.998
0.178000,0.0785,0.6554,0.7537,1.002
0.183000,0.0838,0.6486,0.7576,1.001
0.189000,0.0908,0.6437,0.7564,0.997
0.194000,0.0936,0.6419,0.7552,0.996
0.199000,0.0960,0.6404,0.7491,0.990
0.205000,0.0913,0.6406,0.7469,0.988
0.209000,0.0884,0.6425,0.7504,0.992
0.215000,0.0868,0.6439,0.7574,0.998
0.218000,0.0864,0.6443,0.7676,1.006
0.223000,0.0866,0.6441,0.7695,1.007
0.228000,0.0858,0.6458,0.7648,1.005
0.242000,0.0819,0.6443,0.7558,0.996
0.243000,0.0790,0.6402,0.7373,0.980
0.243000,0.0745,0.6349,0.7206,0.963
0.249000,0.0716,0.6327,0.7045,0.950
0.252000,0.0682,0.6284,0.7009,0.944
0.257000,0.0617,0.6258,0.7102,0.949
0.262000,0.0543,0.6277,0.7199,0.957
0.267000,0.0556,0.6282,0.7358,0.969
0.276000,0.0596,0.6307,0.7511,0.983
0.282000,0.0657,0.6300,0.7655,0.994
0.286000,0.0695,0.6348,0.7795,1.008
0.292000,0.0685,0.6354,0.7927,1.018
0.297000,0.0662,0.6367,0.8000,1.025
0.302000,0.0633,0.6365,0.8014,1.025
0.306000,0.0607,0.6362,0.8014,1.025
0.311000,0.0594,0.6320,0.7947,1.017
0.318000,0.0547,0.6277,0.7752,0.999
0.321000,0.0482,0.6235,0.7563,0.981
0.326000,0.0396,0.6211,0.7371,0.965
0.332000,0.0356,0.6191,0.7250,0.954
0.336000,0.0361,0.6188,0.7235,0.953
0.341000,0.0407,0.6209,0.7297,0.959
0.345000,0.0455,0.6227,0.7403,0.968
0.350000,0.0525,0.6267,0.7509,0.979
0.355000,0.0537,0.6308,0.7600,0.989
0.360000,0.0573,0.6283,0.7639,0.991
0.367000,0.0592,0.6275,0.7649,0.991
0.370000,0.0658,0.6257,0.7638,0.990
0.375000,0.0665,0.6256,0.7676,0.992
0.380000,0.0691,0.6296,0.7732,1.000
0.385000,0.0717,0.6325,0.7816,1.008
0.390000,0.0775,0.6343,0.7878,1.014
0.394000,0.0829,0.6365,0.7954,1.022
0.403000,0.0886,0.6394,0.8036,1.031
0.407000,0.0899,0.6435,0.8060,1.035
0.410000,0.0899,0.6448,0.8023,1.033
0.415000,0.0897,0.6469,0.7934,1.028
0.419000,0.0865,0.6447,0.7784,1.014
0.424000,0.0821,0.6413,0.7556,0.994
0.429000,0.0789,0.6376,0.7306,0.973
0.434000,0.0783,0.6347,0.7099,0.955
0.439000,0.0775,0.6346,0.7006,0.948
0.443000,0.0776,0.6391,0.6970,0.949
0.449000,0.0804,0.6431,0.7035,0.956
0.454000,0.0805,0.6463,0.7171,0.969
0.458000,0.0770,0.6484,0.7296,0.979
0.463000,0.0733,0.6471,0.7406,0.986
0.468000,0.0695,0.6452,0.7487,0.991
0.473000,0.0681,0.6446,0.7560,0.996
0.478000,0.0697,0.6428,0.7620,0.999
0.484000,0.0686,0.6373,0.7684,1.001
0.488000,0.0671,0.6326,0.7755,1.003
0.493000,0.0671,0.6313,0.7829,1.008
0.503000,0.0642,0.6299,0.7839,1.008
0.505000,0.0599,0.6277,0.7811,1.004
0.509000,0.0560,0.6288,0.7803,1.004
0.513000,0.0515,0.6283,0.7786,1.002
0.520000,0.0456,0.6252,0.7763,0.998
0.524000,0.0436,0.6262,0.7736,0.996
0.528000,0.0402,0.6250,0.7674,0.991
0.534000,0.0304,0.6226,0.7575,0.981
0.538000,0.0189,0.6198,0.7482,0.972
0.543000,0.0126,0.6205,0.7416,0.967
0.547000,0.0146,0.6256,0.7351,0.965
0.553000,0.0195,0.6301,0.7301,0.965
0.558000,0.0241,0.6338,0.7297,0.967
0.562000,0.0302,0.6327,0.7386,0.973
0.568000,0.0325,0.6324,0.7517,0.983
0.573000,0.0323,0.6255,0.7668,0.990
0.578000,0.0272,0.6160,0.7838,0.997
0.584000,0.0222,0.6106,0.7990,1.006
0.589000,0.0176,0.6068,0.8107,1.013
0.592000,0.0125,0.6099,0.8191,1.021
0.597000,0.0061,0.6186,0.8224,1.029
0.604000,-0.0004,0.6316,0.8208,1.036
0.608000,0.0024,0.6487,0.8141,1.041
0.612000,0.0102,0.6644,0.7969,1.038
0.624000,0.0158,0.6735,0.7681,1.022
0.626000,0.0234,0.6780,0.7451,1.008
0.628000,0.0287,0.6738,0.7341,0.997
0.643000,0.0212,0.6513,0.7210,0.972
0.645000,0.0076,0.6219,0.6972,0.934
0.646000,-0.0101,0.5961,0.6727,0.899
0.647000,-0.0236,0.5745,0.6512,0.869
0.651000,-0.0281,0.5518,0.6377,0.844
0.655000,-0.0321,0.5429,0.6429,0.842
0.660000,-0.0287,0.5543,0.6760,0.875
0.665000,0.0035,0.5643,0.7286,0.922
0.671000,0.0735,0.5555,0.7885,0.967
0.679000,0.1068,0.5610,0.8541,1.027
0.685000,0.0929,0.5529,0.9024,1.062
0.690000,0.0698,0.5470,0.9385,1.089
0.694000,-0.1028,0.5355,0.8432,1.004
0.700000,-0.0726,0.5893,0.7963,0.993
0.704000,-0.0399,0.6434,0.7889,1.019
0.709000,-0.0433,0.6642,0.7736,1.021
0.714000,-0.0281,0.6614,0.7481,0.999
0.719000,-0.0041,0.6542,0.7277,0.979
0.724000,0.0172,0.6579,0.7240,0.978
0.729000,0.0170,0.6668,0.7373,0.994
0.738000,0.0076,0.6719,0.7513,1.008
0.739000,0.0004,0.6719,0.7496,1.007
0.744000,0.0006,0.6736,0.7399,1.001
0.749000,0.0037,0.6766,0.7298,0.995
0.754000,0.0098,0.6814,0.7211,0.992
0.759000,0.0091,0.6860,0.7168,0.992
0.764000,0.0035,0.6819,0.7097,0.984
0.769000,-0.0069,0.6739,0.7045,0.975
0.774000,-0.0190,0.6693,0.7017,0.970
0.779000,-0.0311,0.6643,0.7004,0.966
0.784000,-0.0416,0.6618,0.7088,0.971
0.789000,-0.0477,0.6585,0.7316,0.985
0.793000,-0.0528,0.6516,0.7615,1.004
0.799000,-0.0607,0.6308,0.7840,1.008
0.803000,-0.0684,0.6070,0.7948,1.002
0.808000,-0.0696,0.5842,0.7976,0.991
0.813000,-0.0685,0.5664,0.7877,0.973
0.819000,-0.0650,0.5588,0.7737,0.957
0.823000,-0.0533,0.5586,0.7596,0.944
0.827000,-0.0385,0.5647,0.7426,0.934
0.839000,-0.0397,0.5636,0.7119,0.909
0.840000,-0.0494,0.5500,0.6443,0.849
0.842000,-0.0526,0.5349,0.5731,0.786
0.847000,-0.0555,0.5244,0.5624,0.771
0.856000,-0.0623,0.5103,0.5947,0.786
0.857000,-0.0685,0.4991,0.6441,0.818
0.863000,-0.0676,0.4939,0.7028,0.862
0.868000,-0.0554,0.4886,0.7647,0.909
0.871000,-0.0372,0.4797,0.8205,0.951
0.879000,-0.0251,0.4675,0.8750,0.992
0.881000,-0.0212,0.4540,0.9281,1.033
0.888000,-0.0192,0.4416,0.9763,1.072
0.891000,-0.0170,0.4304,1.0170,1.104
0.896000,-0.0085,0.4211,1.0455,1.127
0.902000,0.0099,0.4090,1.0588,1.135
0.906000,0.0224,0.3914,1.0612,1.131
0.911000,0.0207,0.3739,1.0559,1.120
0.916000,0.0183,0.3673,1.0449,1.108
0.921000,0.0254,0.3691,1.0247,1.089
0.925000,0.0472,0.3813,0.9950,1.067
0.930000,0.0793,0.4078,0.9580,1.044
0.935000,0.1129,0.4444,0.9257,1.033
0.940000,0.1497,0.4808,0.9010,1.032
0.945000,0.1814,0.5127,0.8831,1.037
0.953000,0.2118,0.5437,0.8754,1.052
0.955000,0.2327,0.5751,0.8799,1.077
0.960000,0.2477,0.6028,0.8962,1.108
0.964000,0.2546,0.6267,0.9195,1.142
0.971000,0.2518,0.6429,0.9353,1.163
0.975000,0.2405,0.6500,0.9419,1.169
0.980000,0.2213,0.6471,0.9411,1.163
0.986000,0.1969,0.6349,0.9321,1.145
0.989000,0.1659,0.6177,0.9234,1.123
0.994000,0.1352,0.5969,0.9140,1.100
1.000000,0.1076,0.5725,0.9005,1.072
1.004000,0.0819,0.5514,0.8870,1.048
1.009000,0.0575,0.5347,0.8832,1.034
1.013000,0.0345,0.5213,0.8755,1.020
1.018000,0.0205,0.5114,0.8595,1.000
1.023000,0.0128,0.5105,0.8386,0.982
1.029000,0.0012,0.5103,0.8201,0.966
1.034000,-0.0172,0.5088,0.8099,0.957
1.038000,-0.0503,0.5081,0.8063,0.954
1.045000,-0.0941,0.4992,0.7957,0.944
1.048000,-0.1418,0.4931,0.7848,0.938
1.053000,-0.1817,0.4911,0.7815,0.941
1.059000,-0.2115,0.4922,0.7921,0.956
1.063000,-0.2120,0.4988,0.8113,0.976
1.068000,-0.1940,0.5086,0.8351,0.997
1.073000,-0.1721,0.5197,0.8620,1.021
1.083000,-0.1422,0.5207,0.8803,1.033
1.088000,-0.1133,0.5108,0.8876,1.030
1.092000,-0.0843,0.4996,0.8887,1.023
1.097000,-0.0540,0.4853,0.8865,1.012
1.103000,-0.0343,0.4701,0.8832,1.001
1.108000,-0.0260,0.4686,0.8784,0.996
1.113000,-0.0241,0.4733,0.8688,0.990
1.119000,-0.0262,0.4827,0.8551,0.982
1.123000,-0.0290,0.4867,0.8352,0.967
1.127000,-0.0254,0.4928,0.8239,0.960
1.132000,-0.0265,0.4917,0.8207,0.957
1.137000,-0.0388,0.4886,0.8189,0.954
1.142000,-0.0565,0.4809,0.8149,0.948
1.147000,-0.0699,0.4705,0.8121,0.941
1.156000,-0.0784,0.4634,0.8099,0.936
1.158000,-0.0809,0.4605,0.8053,0.931
1.161000,-0.0818,0.4581,0.8009,0.926
1.167000,-0.0873,0.4554,0.7937,0.919
1.172000,-0.0924,0.4495,0.7900,0.914
1.176000,-0.0924,0.4437,0.7976,0.917
1.181000,-0.0925,0.4364,0.8103,0.925
1.186000,-0.0980,0.4256,0.8238,0.932
1.191000,-0.1029,0.4162,0.8343,0.938
1.195000,-0.1081,0.4066,0.8408,0.940
1.204000,-0.1168,0.3872,0.8436,0.935
1.208000,-0.1307,0.3607,0.8414,0.925
1.212000,-0.1481,0.3351,0.8364,0.913
1.216000,-0.1478,0.3238,0.8282,0.901
1.223000,-0.1330,0.3216,0.8149,0.886
1.226000,-0.0989,0.3249,0.8059,0.875
1.231000,-0.0571,0.3388,0.8061,0.876
1.242000,-0.0257,0.3589,0.8205,0.896
1.244000,0.0042,0.3755,0.8411,0.921
1.248000,0.0343,0.3714,0.8447,0.923
1.251000,0.0632,0.3593,0.8291,0.906
1.258000,0.0971,0.3638,0.8149,0.898
1.261000,0.1250,0.3811,0.8091,0.903
1.264000,0.1427,0.4022,0.8108,0.916
1.269000,0.1497,0.4223,0.8250,0.939
1.274000,0.1486,0.4408,0.8453,0.965
1.279000,0.1436,0.4589,0.8660,0.991
1.285000,0.1352,0.4741,0.8834,1.012
1.289000,0.1201,0.4867,0.8968,1.027
1.294000,0.1044,0.4987,0.9085,1.042
1.299000,0.0900,0.5126,0.9206,1.058
1.304000,0.0745,0.5308,0.9299,1.073
1.309000,0.0611,0.5480,0.9309,1.082
1.314000,0.0538,0.5660,0.9231,1.084
1.320000,0.0523,0.5818,0.9136,1.084
1.324000,0.0536,0.5965,0.9120,1.091
1.329000,0.0570,0.6074,0.9170,1.101
1.334000,0.0631,0.6098,0.9200,1.106
1.338000,0.0732,0.6042,0.9153,1.099
1.343000,0.0855,0.5834,0.9001,1.076
1.348000,0.0980,0.5488,0.8759,1.038
1.353000,0.1059,0.5132,0.8576,1.005
1.359000,0.1008,0.4860,0.8560,0.989
1.365000,0.0808,0.4677,0.8651,0.987
1.370000,0.0562,0.4576,0.8707,0.985
1.374000,0.0344,0.4538,0.8685,0.981
1.378000,0.0200,0.4519,0.8648,0.976
1.383000,0.0143,0.4543,0.8551,0.968
1.389000,0.0110,0.4594,0.8510,0.967
1.393000,0.0093,0.4690,0.8516,0.972
1.398000,0.0029,0.4777,0.8509,0.976
1.405000,-0.0019,0.4861,0.8505,0.980
1.407000,-0.0096,0.4923,0.8563,0.988
1.412000,-0.0192,0.4968,0.8754,1.007
1.418000,-0.0194,0.4964,0.8964,1.025
1.424000,-0.0162,0.4908,0.9201,1.043
1.428000,-0.0073,0.4802,0.9322,1.049
1.432000,0.0040,0.4699,0.9388,1.050
1.439000,0.0163,0.4606,0.9336,1.041
1.444000,0.0226,0.4621,0.9160,1.026
1.447000,0.0267,0.4640,0.8998,1.013
1.453000,0.0326,0.4688,0.8842,1.001
1.457000,0.0352,0.4736,0.8761,0.997
1.462000,0.0411,0.4718,0.8657,0.987
1.466000,0.0424,0.4666,0.8563,0.976
1.473000,0.0486,0.4562,0.8535,0.969
1.476000,0.0505,0.4427,0.8496,0.959
1.481000,0.0558,0.4373,0.8591,0.966
1.487000,0.0635,0.4334,0.8697,0.974
1.495000,0.0652,0.4361,0.8783,0.983
1.501000,0.0684,0.4414,0.8831,0.990
1.506000,0.0710,0.4406,0.8805,0.987
1.510000,0.0712,0.4387,0.8829,0.988
1.515000,0.0745,0.4384,0.8877,0.993
1.529000,0.0758,0.4372,0.8901,0.995
1.532000,0.0741,0.4327,0.8852,0.988
1.534000,0.0702,0.4304,0.8784,0.981
1.547000,0.0621,0.4303,0.8728,0.975
1.548000,0.0520,0.4313,0.8707,0.973
1.549000,0.0451,0.4312,0.8737,0.975
1.550000,0.0417,0.4250,0.8794,0.978
1.557000,0.0438,0.4217,0.8739,0.971
1.560000,0.0501,0.4130,0.8611,0.956
1.565000,0.0537,0.4117,0.8437,0.940
1.571000,0.0599,0.4078,0.8205,0.918
1.575000,0.0699,0.4082,0.8053,0.906
1.579000,0.0826,0.4145,0.7978,0.903
1.584000,0.0960,0.4233,0.7946,0.905
1.589000,0.1070,0.4324,0.7843,0.902
1.594000,0.1201,0.4402,0.7681,0.893
1.600000,0.1276,0.4453,0.7538,0.885
1.605000,0.1247,0.4478,0.7449,0.878
1.609000,0.1180,0.4502,0.7416,0.876
1.614000,0.1099,0.4510,0.7498,0.882
1.619000,0.1059,0.4489,0.7630,0.892
1.624000,0.1033,0.4466,0.7662,0.893
1.628000,0.0981,0.4473,0.7649,0.891
1.633000,0.0875,0.4498,0.7625,0.890
1.640000,0.0746,0.4549,0.7578,0.887
1.644000,0.0647,0.4589,0.7524,0.884
1.649000,0.0569,0.4608,0.7428,0.876
1.659000,0.0455,0.4653,0.7279,0.865
1.660000,0.0356,0.4703,0.7086,0.851
1.664000,0.0292,0.4748,0.6871,0.836
1.668000,0.0291,0.4814,0.6690,0.825
1.673000,0.0292,0.4891,0.6633,0.825
1.679000,0.0315,0.4948,0.6708,0.834
1.683000,0.0367,0.5013,0.6812,0.847
1.689000,0.0412,0.5111,0.6928,0.862
1.692000,0.0411,0.5216,0.7091,0.881
1.697000,0.0408,0.5273,0.7391,0.909
1.702000,0.0382,0.5295,0.7853,0.948
1.707000,0.0401,0.5283,0.8503,1.002
1.712000,0.0558,0.5236,0.9233,1.063
1.716000,0.0773,0.5232,0.9825,1.116
1.723000,0.0961,0.5310,1.0208,1.155
1.728000,0.1054,0.5407,1.0449,1.181
1.732000,0.0970,0.5514,1.0669,1.205
1.739000,0.0763,0.5537,1.0979,1.232
1.744000,0.0514,0.5463,1.1435,1.268
1.747000,0.0306,0.5327,1.2042,1.317
1.752000,0.0189,0.5105,1.2671,1.366
1.759000,0.0150,0.4832,1.3261,1.411
1.762000,0.0145,0.4522,1.3915,1.463
1.767000,0.0200,0.4200,1.4653,1.524
1.772000,0.0360,0.3851,1.5257,1.574
1.777000,0.0572,0.3627,1.5628,1.605
1.782000,0.0805,0.3532,1.5611,1.603
1.786000,0.0950,0.3513,1.5180,1.561
1.791000,0.1061,0.3577,1.4525,1.500
1.795000,0.1115,0.3654,1.3804,1.432
1.800000,0.1177,0.3678,1.3169,1.372
1.807000,0.1226,0.3674,1.2823,1.339
1.811000,0.1274,0.3540,1.2720,1.327
1.815000,0.1375,0.3334,1.3007,1.350
1.822000,0.1576,0.2991,1.3800,1.421
1.825000,0.1821,0.2565,1.4880,1.521
1.830000,0.2127,0.2165,1.5977,1.626
1.835000,0.2338,0.1807,1.7021,1.728
1.840000,0.2440,0.1571,1.7908,1.814
1.845000,0.2464,0.1476,1.8594,1.881
1.850000,0.2446,0.1443,1.8905,1.912
1.855000,0.2368,0.1487,1.8871,1.908
1.860000,0.2276,0.1521,1.8396,1.860
1.864000,0.2157,0.1539,1.7554,1.775
1.869000,0.1983,0.1520,1.6397,1.659
1.878000,0.1736,0.1544,1.5109,1.529
1.879000,0.1456,0.1550,1.3826,1.399
1.884000,0.1224,0.1626,1.2554,1.272
1.889000,0.1020,0.1727,1.1368,1.154
1.894000,0.0786,0.1892,1.0406,1.061
1.909000,0.0581,0.2112,0.9549,0.980
1.910000,0.0414,0.2352,0.8745,0.906
1.916000,0.0289,0.2571,0.8094,0.850
1.919000,0.0186,0.2718,0.7571,0.805
1.924000,0.0094,0.2791,0.7162,0.769
1.929000,0.0044,0.2874,0.6912,0.749
1.934000,0.0049,0.2940,0.6861,0.746
1.940000,0.0057,0.2995,0.7022,0.763
1.944000,0.0102,0.3007,0.7342,0.793
1.948000,0.0236,0.2925,0.7687,0.823
1.953000,0.0400,0.2791,0.7981,0.846
1.958000,0.0594,0.2587,0.8318,0.873
1.963000,0.0745,0.2446,0.8527,0.890
1.968000,0.0766,0.2297,0.8729,0.906
1.974000,0.0733,0.2168,0.8915,0.920
1.979000,0.0660,0.2032,0.9039,0.929
1.982000,0.0501,0.1908,0.9081,0.929
1.989000,0.0348,0.1813,0.9020,0.921
1.992000,0.0202,0.1796,0.8875,0.906
1.997000,0.0119,0.1816,0.8635,0.882
2.002000,0.0064,0.1861,0.8347,0.855
2.007000,0.0056,0.1875,0.8000,0.822
2.012000,0.0086,0.1921,0.7630,0.787
2.017000,0.0103,0.1964,0.7315,0.757
2.023000,0.0134,0.2005,0.7035,0.732
2.027000,0.0169,0.2040,0.6808,0.711
2.031000,0.0173,0.2075,0.6666,0.698
2.036000,0.0170,0.2156,0.6585,0.693
2.043000,0.0225,0.2235,0.6558,0.693
2.047000,0.0345,0.2357,0.6556,0.698
2.052000,0.0515,0.2467,0.6552,0.702
2.064000,0.0678,0.2578,0.6551,0.707
2.065000,0.0807,0.2696,0.6604,0.718
2.066000,0.0886,0.2811,0.6702,0.732
2.074000,0.0915,0.2898,0.6773,0.742
2.077000,0.0925,0.2946,0.6739,0.741
2.082000,0.0963,0.2971,0.6633,0.733
2.085000,0.1021,0.2974,0.6465,0.719
2.091000,0.1078,0.2965,0.6275,0.702
2.095000,0.1086,0.2974,0.6094,0.687
2.100000,0.1038,0.3016,0.5940,0.674
2.105000,0.1006,0.3083,0.5883,0.672
2.110000,0.1087,0.3118,0.5890,0.675
2.114000,0.1247,0.3119,0.5919,0.681
2.121000,0.1377,0.3069,0.5905,0.680
2.128000,0.1446,0.3008,0.5808,0.670
2.132000,0.1561,0.2942,0.5726,0.662
2.135000,0.2020,0.2883,0.5567,0.659
2.140000,0.2471,0.2839,0.5509,0.667
2.144000,0.2512,0.2824,0.5731,0.687
2.149000,0.2180,0.2826,0.6150,0.711
2.156000,0.1639,0.2794,0.6640,0.739
2.160000,0.1150,0.2796,0.6902,0.753
2.165000,0.0928,0.2862,0.6975,0.760
2.169000,0.0940,0.2912,0.7025,0.766
2.175000,0.1036,0.2889,0.7095,0.773
2.180000,0.1059,0.2826,0.7303,0.790
2.184000,0.0908,0.2714,0.7641,0.816
2.194000,0.0569,0.2595,0.8032,0.846
2.195000,0.0180,0.2515,0.8469,0.884
2.199000,-0.0155,0.2534,0.8919,0.927
2.203000,-0.0274,0.2639,0.9163,0.954
2.208000,-0.0265,0.2813,0.9293,0.971
2.213000,-0.0116,0.3027,0.9312,0.979
2.218000,0.0141,0.3250,0.9232,0.979
2.223000,0.0426,0.3529,0.9047,0.972
2.228000,0.0673,0.3774,0.8737,0.954
2.233000,0.0886,0.4034,0.8340,0.931
2.239000,0.1036,0.4201,0.8002,0.910
2.243000,0.1130,0.4372,0.7726,0.895
2.248000,0.1206,0.4516,0.7598,0.892
2.254000,0.1301,0.4712,0.7494,0.895
2.259000,0.1394,0.4906,0.7386,0.898
2.264000,0.1432,0.5101,0.7262,0.899
2.268000,0.1353,0.5236,0.7218,0.902
2.276000,0.1126,0.5263,0.7294,0.906
2.279000,0.0827,0.5227,0.7468,0.915
2.283000,0.0515,0.5206,0.7660,0.928
2.288000,0.0307,0.5222,0.7867,0.945
2.297000,0.0160,0.5232,0.8036,0.959
2.298000,0.0043,0.5278,0.8277,0.982
2.303000,0.0022,0.5169,0.8663,1.009
2.314000,-0.0119,0.5117,0.9117,1.046
2.318000,-0.0253,0.5085,0.9482,1.076
2.326000,-0.0406,0.5050,0.9837,1.106
2.327000,-0.0602,0.5018,1.0226,1.141
2.331000,-0.0764,0.4915,1.0855,1.194
2.336000,-0.0896,0.4716,1.1767,1.271
2.341000,-0.0873,0.4476,1.2685,1.348
2.346000,-0.0735,0.4352,1.3351,1.406
2.351000,-0.0502,0.4363,1.3756,1.444
2.357000,-0.0198,0.4561,1.3952,1.468
2.361000,0.0135,0.4907,1.3937,1.478
2.366000,0.0438,0.5313,1.3665,1.467
2.370000,0.0673,0.5767,1.3125,1.435
2.375000,0.0784,0.6215,1.2381,1.388
2.381000,0.0812,0.6488,1.1533,1.326
2.386000,0.0755,0.6655,1.0689,1.261
2.391000,0.0671,0.6664,0.9985,1.202
2.396000,0.0491,0.6531,0.9502,1.154
2.400000,0.0318,0.6262,0.9433,1.133
2.407000,0.0161,0.5906,0.9689,1.135
2.413000,-0.0010,0.5424,1.0301,1.164
2.415000,-0.0222,0.4832,1.1310,1.230
2.420000,-0.0465,0.4189,1.2703,1.338
2.427000,-0.0702,0.3504,1.4342,1.478
2.430000,-0.0911,0.2830,1.5987,1.626
2.436000,-0.1123,0.2210,1.7465,1.764
2.444000,-0.1310,0.1706,1.8710,1.883
2.445000,-0.1482,0.1337,1.9595,1.970
2.449000,-0.1659,0.1089,2.0095,2.019
2.454000,-0.1851,0.0970,2.0202,2.031
2.459000,-0.2027,0.0992,1.9875,2.000
2.465000,-0.2157,0.1156,1.9093,1.925
2.469000,-0.2162,0.1397,1.7919,1.810
2.474000,-0.1988,0.1645,1.6471,1.667
2.479000,-0.1742,0.1927,1.4960,1.518
2.483000,-0.1552,0.2168,1.3536,1.380
2.488000,-0.1450,0.2293,1.2235,1.253
2.493000,-0.1490,0.2409,1.1001,1.136
2.498000,-0.1527,0.2524,0.9849,1.028
2.503000,-0.1581,0.2627,0.8923,0.943
2.508000,-0.1630,0.2700,0.8263,0.884
2.513000,-0.1630,0.2737,0.7804,0.843
2.519000,-0.1636,0.2707,0.7614,0.824
2.525000,-0.1739,0.2585,0.7769,0.837
2.529000,-0.1907,0.2422,0.8114,0.868
2.533000,-0.2064,0.2245,0.8496,0.903
2.538000,-0.2140,0.2024,0.8832,0.931
2.544000,-0.2110,0.1800,0.9136,0.955
2.548000,-0.1927,0.1640,0.9416,0.975
2.553000,-0.1633,0.1610,0.9659,0.993
2.560000,-0.1271,0.1688,0.9808,1.003
2.563000,-0.0849,0.1839,0.9822,1.003
2.567000,-0.0438,0.2039,0.9668,0.989
2.572000,-0.0061,0.2277,0.9330,0.960
2.578000,0.0348,0.2597,0.8826,0.921
2.582000,0.0742,0.3006,0.8251,0.881
2.587000,0.1107,0.3367,0.7743,0.852
2.592000,0.1456,0.3664,0.7295,0.829
2.597000,0.1695,0.3856,0.6899,0.808
2.602000,0.1780,0.3981,0.6585,0.790
2.608000,0.1669,0.4026,0.6521,0.784
2.611000,0.1389,0.3961,0.6703,0.791
2.616000,0.0947,0.3748,0.6990,0.799
2.621000,0.0440,0.3437,0.7213,0.800
2.626000,-0.0016,0.3068,0.7249,0.787
2.631000,-0.0411,0.2734,0.7241,0.775
2.636000,-0.0639,0.2464,0.7174,0.761
2.642000,-0.0753,0.2225,0.7030,0.741
2.646000,-0.0792,0.2085,0.6751,0.711
2.651000,-0.0780,0.1943,0.6349,0.669
2.656000,-0.0714,0.1822,0.5950,0.626
2.661000,-0.0577,0.1698,0.5715,0.599
2.666000,-0.0389,0.1553,0.5655,0.588
2.671000,-0.0192,0.1527,0.5775,0.598
2.676000,-0.0001,0.1588,0.5984,0.619
2.680000,0.0068,0.1657,0.6255,0.647
2.685000,0.0107,0.1779,0.6510,0.675
2.693000,0.0144,0.1907,0.6644,0.691
2.698000,0.0156,0.2074,0.6804,0.711
2.700000,0.0108,0.2228,0.6962,0.731
2.705000,0.0073,0.2412,0.7036,0.744
2.710000,0.0075,0.2515,0.6995,0.743
2.720000,0.0134,0.2588,0.6874,0.735
2.725000,0.0167,0.2623,0.6695,0.719
2.729000,0.0235,0.2638,0.6588,0.710
2.734000,0.0268,0.2604,0.6457,0.697
2.739000,0.0265,0.2583,0.6372,0.688
2.744000,0.0201,0.2587,0.6377,0.688
2.749000,0.0117,0.2574,0.6513,0.700
2.754000,0.0127,0.2610,0.6579,0.708
2.761000,0.0183,0.2669,0.6503,0.703
2.765000,0.0258,0.2788,0.6344,0.693
2.769000,0.0358,0.2900,0.6169,0.683
2.778000,0.0447,0.3030,0.6047,0.678
2.781000,0.0444,0.3044,0.5930,0.668
2.784000,0.0492,0.3029,0.5806,0.657
2.788000,0.0525,0.3050,0.5753,0.653
2.793000,0.0455,0.3037,0.5856,0.661
2.801000,0.0354,0.3035,0.6178,0.689
2.804000,0.0142,0.3083,0.6700,0.738
2.809000,-0.0016,0.3100,0.7457,0.808
2.813000,-0.0051,0.3071,0.8244,0.880
2.818000,0.0000,0.3016,0.8927,0.942
2.823000,0.0110,0.2968,0.9463,0.992
2.828000,0.0299,0.2949,0.9886,1.032
2.832000,0.0477,0.2978,1.0089,1.053
2.837000,0.0649,0.3035,1.0091,1.056
2.843000,0.0735,0.3091,1.0023,1.051
2.847000,0.0723,0.3162,0.9904,1.042
2.852000,0.0646,0.3234,0.9746,1.029
2.860000,0.0577,0.3286,0.9575,1.014
